Ensembl_ID,protein_name,gene_name
ENSP00000023064,"b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)",SLC7A9 BAT1
ENSP00000025008,RB1-inducible coiled-coil protein 1 (FAK family kinase-interacting protein of 200 kDa) (FIP200),RB1CC1 KIAA0203 RBICC
ENSP00000025301,A-kinase anchor protein 11 (AKAP-11) (A-kinase anchor protein 220 kDa) (AKAP 220) (hAKAP220) (Protein kinase A-anchoring protein 11) (PRKA11),AKAP11 AKAP220 KIAA0629
ENSP00000026218,Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q (N-acetylglucosamyl transferase component GPI1) (Phosphatidylinositol-glycan biosynthesis class Q protein) (PIG-Q),PIGQ GPI1
ENSP00000027335,Cadherin-17 (Intestinal peptide-associated transporter HPT-1) (Liver-intestine cadherin) (LI-cadherin),CDH17
ENSP00000029410,"Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein 4-beta-galactosyltransferase) (EC 2.4.1.133) (Xylosylprotein beta-1,4-galactosyltransferase)",B4GALT7 XGALT1 UNQ748/PRO1478
ENSP00000033079,Protein FAM13B (GAP-like protein N61),FAM13B C5orf5 FAM13B1
ENSP00000035307,Chondroitin sulfate glucuronyltransferase (EC 2.4.1.226) (CSGlcA-T) (Chondroitin glucuronyltransferase) (Chondroitin polymerizing factor 2) (ChPF-2) (Chondroitin synthase 3) (ChSy-3) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase),CHPF2 CHSY3 CSGLCAT KIAA1402 UNQ299/PRO339
ENSP00000035383,Leucine-rich repeat-containing protein 7 (Densin-180) (Densin) (Protein LAP1),LRRC7 KIAA1365 LAP1
ENSP00000037243,Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Ganglioside expression factor 2) (GEF-2) (General protein transport factor p16) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16) (MAP1 light chain 3-related protein),GABARAPL2 FLC3A GEF2
ENSP00000037502,"Myocilin (Myocilin 55 kDa subunit) (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]",MYOC GLC1A TIGR
ENSP00000037869,Protein FAM136A,FAM136A
ENSP00000039007,"Ornithine transcarbamylase, mitochondrial (OTCase) (EC 2.1.3.3) (Ornithine carbamoyltransferase, mitochondrial)",OTC
ENSP00000039989,Tetratricopeptide repeat protein 17 (TPR repeat protein 17),TTC17
ENSP00000040584,Homeobox protein Hox-C8 (Homeobox protein Hox-3A),HOXC8 HOX3A
ENSP00000040663,Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (Mediator of RhoA-dependent invasion) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein),MRI1 MRDI UNQ6390/PRO21135
ENSP00000040738,Biorientation of chromosomes in cell division protein 1-like 1,BOD1L1 BOD1L FAM44A KIAA1327
ENSP00000040877,Probable methyltransferase TARBP1 (EC 2.1.1.-) (TAR RNA-binding protein 1) (TAR RNA-binding protein of 185 kDa) (TRP-185),TARBP1 TRM3 TRP185
ENSP00000043402,Reticulon-4 receptor (Nogo receptor) (NgR) (Nogo-66 receptor),RTN4R NOGOR UNQ330/PRO526
ENSP00000044462,Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L),PSMA4 HC9 PSC9
ENSP00000046087,Zona pellucida-binding protein 1 (Inner acrosomal membrane IAM38) (Sp38),ZPBP ZPBP1
ENSP00000046794,Lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76 kDa) (SLP-76 tyrosine phosphoprotein) (SLP76),LCP2
ENSP00000052754,Decorin (Bone proteoglycan II) (PG-S2) (PG40),DCN SLRR1B
ENSP00000053243,Tumor necrosis factor receptor superfamily member 17 (B-cell maturation protein) (CD antigen CD269),TNFRSF17 BCM BCMA
ENSP00000053468,"28S ribosomal protein S10, mitochondrial (MRP-S10) (S10mt) (Mitochondrial small ribosomal subunit protein uS10m)",MRPS10 MSTP040
ENSP00000053867,Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)],GRN
ENSP00000054650,THAP domain-containing protein 3,THAP3
ENSP00000054666,Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3),VAMP3 SYB3
ENSP00000054950,Reticulocalbin-1,RCN1 RCN
ENSP00000055077,Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40),RFC2
ENSP00000055335,Protein phosphatase 1 regulatory subunit 3F (R3F),PPP1R3F
ENSP00000055682,Neurite extension and migration factor (XLMR protein related to neurite extension) (XPN),NEXMIF KIAA2022
ENSP00000056217,Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM),ARHGEF5 TIM
ENSP00000056233,"Nuclear factor erythroid 2-related factor 3 (NF-E2-related factor 3) (NFE2-related factor 3) (Nuclear factor, erythroid derived 2, like 3)",NFE2L3 NRF3
ENSP00000061240,Tolloid-like protein 1 (EC 3.4.24.-),TLL1 TLL
ENSP00000062104,Neuronatin,NNAT
ENSP00000064571,Cerebellin-4 (Cerebellin-like glycoprotein 1),CBLN4 CBLNL1 UNQ718/PRO1382
ENSP00000064724,Claudin-11 (Oligodendrocyte-specific protein),CLDN11 OSP OTM
ENSP00000064780,Tumor necrosis factor receptor superfamily member 19L (Receptor expressed in lymphoid tissues),RELT TNFRSF19L
ENSP00000070846,Plakophilin-2,PKP2
ENSP00000072644,Protein YIPF1 (YIP1 family member 1),YIPF1
ENSP00000072869,Uncharacterized aarF domain-containing protein kinase 2 (EC 2.7.11.-),ADCK2 AARF
ENSP00000074304,"Inositol polyphosphate-4-phosphatase type I A (Inositol polyphosphate 4-phosphatase type I) (Type I inositol 3,4-bisphosphate 4-phosphatase) (EC 3.1.3.66)",INPP4A
ENSP00000075120,"Solute carrier family 2, facilitated glucose transporter member 3 (Glucose transporter type 3, brain) (GLUT-3)",SLC2A3 GLUT3
ENSP00000075503,Tyrosine-protein kinase STYK1 (EC 2.7.10.2) (Novel oncogene with kinase domain) (Protein PK-unique) (Serine/threonine/tyrosine kinase 1),STYK1 NOK
ENSP00000078429,Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (Guanine nucleotide-binding protein G(y) subunit alpha),GNA11 GA11
ENSP00000078445,Cyclic AMP-responsive element-binding protein 3-like protein 3 (cAMP-responsive element-binding protein 3-like protein 3) (Transcription factor CREB-H) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 3],CREB3L3 CREBH HYST1481
ENSP00000080059,Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a),HDAC7 HDAC7A
ENSP00000083182,Amyloid protein-binding protein 2 (Amyloid beta precursor protein-binding protein 2) (APP-BP2) (Protein interacting with APP tail 1),APPBP2 KIAA0228 PAT1
ENSP00000084798,Carbonic anhydrase-related protein 11 (CA-RP XI) (CA-XI) (CARP XI) (Carbonic anhydrase-related protein 2) (CA-RP II) (CARP-2),CA11 CARP2 UNQ211/PRO237
ENSP00000085068,Isochorismatase domain-containing protein 2,ISOC2
ENSP00000085219,B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22),CD22 SIGLEC2
ENSP00000086933,Homeobox protein goosecoid-2 (GSC-2) (Homeobox protein goosecoid-like) (GSC-L),GSC2 GSCL
ENSP00000155840,Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1),KCNQ1 KCNA8 KCNA9 KVLQT1
ENSP00000155858,Transient receptor potential cation channel subfamily M member 5 (Long transient receptor potential channel 5) (LTrpC-5) (LTrpC5) (MLSN1- and TRP-related gene 1 protein),TRPM5 LTRPC5 MTR1
ENSP00000155926,Tribbles homolog 2 (TRB-2),TRIB2 TRB2
ENSP00000156084,OTU domain-containing protein 5 (EC 3.4.19.12) (Deubiquitinating enzyme A) (DUBA),OTUD5
ENSP00000156109,G-patch domain and KOW motifs-containing protein (G-patch domain-containing protein 5) (Protein MOS2 homolog) (Protein T54),GPKOW GPATC5 GPATCH5 T54
ENSP00000156471,RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160),AQR KIAA0560
ENSP00000156626,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 (EC 2.4.3.3) (GalNAc alpha-2,6-sialyltransferase I) (ST6GalNAc I) (ST6GalNAc-I) (ST6GalNAcI) (hST6GalNAc-I) (Sialyltransferase 7A) (SIAT7-A)",ST6GALNAC1 SIAT7A UNQ543/PRO848
ENSP00000157600,LIM and cysteine-rich domains protein 1 (Dyxin),LMCD1
ENSP00000157812,26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7),PSMC4 MIP224 TBP7
ENSP00000158166,Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha),CAMKK1 CAMKKA
ENSP00000158762,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",ACAP1 CENTB1 KIAA0050
ENSP00000158771,Derlin-2 (Degradation in endoplasmic reticulum protein 2) (DERtrin-2) (Der1-like protein 2) (F-LAN-1) (F-LANa),DERL2 DER2 FLANA CGI-101 SBBI53
ENSP00000159060,NADPH oxidase 3 (EC 1.6.3.-) (Mitogenic oxidase 2) (MOX-2) (gp91phox homolog 3) (GP91-3),NOX3 MOX2
ENSP00000159087,Anoctamin-8 (Transmembrane protein 16H),ANO8 KIAA1623 TMEM16H
ENSP00000159111,Lysine-specific demethylase 4B (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3B) (Jumonji domain-containing protein 2B) ([histone H3]-trimethyl-L-lysine(9) demethylase 4B),KDM4B JHDM3B JMJD2B KIAA0876
ENSP00000160262,Intercellular adhesion molecule 3 (ICAM-3) (CDw50) (ICAM-R) (CD antigen CD50),ICAM3
ENSP00000160373,Cortactin-binding protein 2 (CortBP2),CTTNBP2 C7orf8 CORTBP2 KIAA1758
ENSP00000160382,Actin-like protein 6B (53 kDa BRG1-associated factor B) (Actin-related protein Baf53b) (ArpNalpha) (BRG1-associated factor 53B) (BAF53B),ACTL6B ACTL6 BAF53B
ENSP00000160827,Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein) (Kinesin-like protein 4),KIF22 KID KNSL4
ENSP00000161006,Brain-specific serine protease 4 (BSSP-4) (EC 3.4.21.-) (Serine protease 22) (Serine protease 26) (Tryptase epsilon),PRSS22 BSSP4 PRSS26 SP001LA UNQ302/PRO343
ENSP00000161559,Carcinoembryonic antigen-related cell adhesion molecule 1 (Biliary glycoprotein 1) (BGP-1) (CD antigen CD66a),CEACAM1 BGP BGP1
ENSP00000161863,3'-5' RNA helicase YTHDC2 (EC 3.6.4.13) (YTH domain-containing protein 2) (hYTHDC2),YTHDC2
ENSP00000162391,Forkhead box protein J2 (Fork head homologous X),FOXJ2 FHX
ENSP00000162749,"Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1 (TBPI)]",TNFRSF1A TNFAR TNFR1
ENSP00000163416,Golgin subfamily A member 5 (Cell proliferation-inducing gene 31 protein) (Golgin-84) (Protein Ret-II) (RET-fused gene 5 protein),GOLGA5 RETII RFG5 PIG31
ENSP00000164024,Cadherin EGF LAG seven-pass G-type receptor 3 (Cadherin family member 11) (Epidermal growth factor-like protein 1) (EGF-like protein 1) (Flamingo homolog 1) (hFmi1) (Multiple epidermal growth factor-like domains protein 2) (Multiple EGF-like domains protein 2),CELSR3 CDHF11 EGFL1 FMI1 KIAA0812 MEGF2
ENSP00000164133,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta),PPP2R5B
ENSP00000164139,"Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase)",PYGM
ENSP00000164227,B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3),BCL3 BCL4 D19S37
ENSP00000164305,GPI mannosyltransferase 3 (EC 2.4.1.-) (GPI mannosyltransferase III) (GPI-MT-III) (Phosphatidylinositol-glycan biosynthesis class B protein) (PIG-B),PIGB
ENSP00000164640,PDZ domain-containing protein 4 (PDZ domain-containing RING finger protein 4-like protein),PDZD4 KIAA1444 PDZK4 PDZRN4L
ENSP00000165524,Prolactin-releasing peptide (PrRP) (Prolactin-releasing hormone) [Cleaved into: Prolactin-releasing peptide PrRP31; Prolactin-releasing peptide PrRP20],PRLH PRH
ENSP00000166139,Follistatin-related protein 3 (Follistatin-like protein 3) (Follistatin-related gene protein),FSTL3 FLRG UNQ674/PRO1308
ENSP00000166244,Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK),EPHA8 EEK HEK3 KIAA1459
ENSP00000166345,Pachytene checkpoint protein 2 homolog (Human papillomavirus type 16 E1 protein-binding protein) (16E1-BP) (HPV16 E1 protein-binding protein) (Thyroid hormone receptor interactor 13) (Thyroid receptor-interacting protein 13) (TR-interacting protein 13) (TRIP-13),TRIP13 PCH2
ENSP00000167586,"Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)",KRT14
ENSP00000167588,"Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20) (Protein IT)",KRT20
ENSP00000168148,Secreted phosphoprotein 24 (Spp-24) (Secreted phosphoprotein 2),SPP2 SPP24
ENSP00000168216,3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH),HSD17B10 ERAB HADH2 MRPP2 SCHAD SDR5C1 XH98G2
ENSP00000168712,Fibroblast growth factor 4 (FGF-4) (Heparin secretory-transforming protein 1) (HST) (HST-1) (HSTF-1) (Heparin-binding growth factor 4) (HBGF-4) (Transforming protein KS3),FGF4 HST HSTF1 KS3
ENSP00000169298,"Beta-galactoside alpha-2,6-sialyltransferase 1 (Alpha 2,6-ST 1) (EC 2.4.3.1) (B-cell antigen CD75) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 1) (ST6Gal I) (ST6GalI) (Sialyltransferase 1)",ST6GAL1 SIAT1
ENSP00000169551,"Mitochondrial import inner membrane translocase subunit Tim21 (TIM21-like protein, mitochondrial)",TIMM21 C18orf55 TIM21 HSPC154
ENSP00000170150,"BPI fold-containing family B member 2 (Bactericidal/permeability-increasing protein-like 1) (BPI-like 1) (Long palate, lung and nasal epithelium carcinoma-associated protein 2) (RYSR)",BPIFB2 BPIL1 C20orf184 LPLUNC2 UNQ2489/PRO5776
